,precipitation,temp_avg,state
82223,1.65,42.0,CA
107928,3.65,50.8,CA
135525,0.32,66.9,CA
86842,4.0,67.2,TX
81718,1.65,45.8,TX
92445,1.91,48.5,CA
83452,3.49,46.7,WA
87263,3.65,72.8,TX
99101,6.93,47.2,CA
77301,1.27,51.3,CA
93154,1.9,74.0,TX
93115,4.98,44.9,CA
79595,2.17,51.6,CA
88018,0.65,45.3,CA
99631,2.71,67.4,TX
96796,1.09,62.0,CA
98086,0.57,75.0,CA
92074,0.59,61.5,CA
111674,1.59,55.7,WA
92582,4.46,35.6,WA
119667,0.32,64.1,CA
118780,5.11,28.6,WA
104769,0.05,62.2,CA
96429,3.84,44.6,WA
106053,3.79,38.1,WA
118338,0.74,54.4,CA
85245,2.29,47.8,WA
111432,0.32,66.9,CA
104313,0.93,67.4,TX
81194,4.98,44.9,CA
86537,4.0,67.2,TX
118998,0.81,41.5,CA
88736,2.1,56.8,CA
103640,1.23,60.0,WA
99089,0.17,72.9,CA
122187,0.5,67.5,CA
117543,3.55,42.5,TX
108991,0.06,77.4,CA
83277,0.71,63.7,CA
94412,0.57,68.2,CA
103292,0.7,57.3,CA
118810,0.73,64.6,CA
116690,0.45,58.8,CA
103622,3.06,52.4,WA
127337,0.84,54.0,CA
81454,1.44,62.3,CA
103109,3.13,47.0,WA
116528,5.41,44.0,CA
109529,0.67,66.2,CA
102537,3.23,42.9,WA
96763,1.5,75.8,TX
113973,1.11,65.4,WA
103684,0.74,52.5,CA
86132,0.27,75.0,CA
123037,7.11,41.1,CA
88471,1.35,84.3,TX
89187,2.48,55.6,WA
107206,0.01,71.8,CA
112344,0.4,74.2,CA
86064,1.97,56.3,WA
80228,10.04,39.6,WA
133036,0.7,84.1,TX
111121,1.59,55.7,WA
88256,4.42,43.1,CA
118718,0.74,54.4,CA
85477,0.68,63.5,WA
88732,3.02,74.1,TX
106623,5.51,44.6,CA
91430,0.96,48.7,TX
101158,5.77,44.0,CA
97734,0.52,60.8,WA
92602,1.9,74.0,TX
81625,0.25,67.8,CA
108159,0.12,74.8,CA
88032,3.25,53.3,TX
101171,6.2,29.8,WA
78259,1.15,57.2,WA
135556,0.22,73.8,CA
121916,0.82,53.3,CA
83730,5.09,45.8,CA
111425,0.32,66.9,CA
97901,1.64,45.3,CA
100101,2.35,46.8,CA
98362,0.57,75.0,CA
114059,1.25,51.0,TX
93242,0.07,71.2,CA
108738,0.06,77.4,CA
81119,3.69,82.3,TX
111945,2.26,52.4,CA
113570,1.14,50.2,TX
107990,4.39,42.7,WA
87949,2.03,51.9,TX
101042,3.31,58.9,TX
88266,4.42,43.1,CA
96661,1.09,62.0,CA
112633,0.45,47.2,TX
102567,4.08,73.9,TX
89032,3.26,43.5,WA
110195,2.0,49.7,WA
100063,6.32,50.6,WA
120855,0.12,70.5,CA
85959,0.27,75.0,CA
102332,3.2,35.1,WA
118357,0.74,54.4,CA
103717,12.5,44.7,CA
100790,2.42,62.6,WA
103215,0.26,70.8,CA
113623,3.57,32.8,WA
78842,0.89,55.6,CA
90334,0.3,71.2,CA
87260,1.75,42.4,TX
86454,0.79,46.0,CA
103554,0.43,68.2,CA
87671,4.42,43.1,CA
89447,0.73,63.4,WA
98827,1.23,60.0,WA
82411,0.25,67.8,CA
112271,1.06,52.9,TX
106493,1.68,47.7,CA
78163,6.9,29.0,WA
77717,0.07,71.2,CA
103358,4.14,79.4,TX
85582,0.06,73.5,CA
106388,3.81,48.5,WA
111653,2.26,52.4,CA
92774,1.9,74.0,TX
114575,0.14,69.4,CA
91458,7.62,44.5,CA
99787,3.98,50.0,CA
78338,5.12,45.6,CA
77537,1.93,60.8,WA
120820,1.06,68.1,WA
82472,3.89,79.2,TX
130259,1.16,57.5,TX
127812,2.2,53.0,CA
105794,0.14,69.4,CA
114952,0.06,73.8,CA
98371,0.29,65.9,WA
125766,3.21,41.2,CA
81299,5.18,68.5,TX
103786,6.66,78.7,TX
105058,0.4,67.3,WA
120444,5.37,79.0,TX
88302,2.08,32.1,WA
94911,0.79,57.5,WA
116119,3.79,38.1,WA
120389,0.12,70.5,CA
111040,1.59,55.7,WA
91381,1.45,48.2,CA
95541,2.2,73.9,TX
86988,5.24,51.1,TX
108784,1.79,53.0,CA
99637,0.09,65.4,CA
93224,0.59,61.5,CA
106276,6.18,55.7,TX
92256,4.23,34.3,WA
80605,4.05,41.0,WA
107201,2.81,42.1,CA
102271,1.08,56.9,CA
84337,6.09,30.4,WA
110922,1.59,55.7,WA
83592,1.34,65.8,TX
109668,1.09,65.0,WA
87878,2.21,52.6,CA
98141,2.36,82.1,TX
82879,1.57,75.8,TX
121172,0.21,70.0,CA
116129,3.27,74.1,TX
103924,6.66,78.7,TX
121813,1.51,58.6,CA
93877,0.31,63.6,WA
85633,0.47,84.2,TX
116464,3.27,74.1,TX
92906,2.39,80.6,TX
135485,0.55,43.9,CA
111123,1.59,55.7,WA
98429,0.31,73.3,CA
114783,4.16,53.0,CA
96134,1.94,78.6,TX
117686,0.81,41.5,CA
117624,0.81,41.5,CA
81404,1.87,51.3,CA
81934,2.27,80.3,TX
84944,0.94,63.9,CA
113699,5.41,44.0,CA
96147,2.93,46.8,WA
92162,1.98,55.4,TX
77581,4.99,45.4,WA
77722,0.06,75.0,CA
103937,1.63,60.4,WA
81122,7.47,30.4,WA
77557,6.4,32.6,WA
103418,1.63,60.4,WA
115184,0.15,79.3,CA
84137,0.67,59.6,CA
101267,0.71,49.1,TX
118367,4.24,46.7,CA
93573,7.33,32.9,WA
97958,0.57,75.0,CA
81348,1.72,50.3,TX
84214,5.09,45.8,CA
84764,1.8,57.8,CA
81599,1.14,83.9,TX
93634,1.83,79.7,TX
135019,4.03,47.1,CA
97854,0.04,71.2,CA
122684,1.51,58.6,CA
109824,0.14,78.4,CA
99933,0.09,65.4,CA
121628,0.5,67.5,CA
97375,0.04,71.2,CA
90121,3.6,82.8,TX
116584,1.17,58.8,WA
82164,2.39,63.0,TX
99001,1.23,60.0,WA
106062,1.68,47.7,CA
106738,5.56,44.1,CA
84810,2.2,53.0,CA
94884,0.11,70.9,CA
86845,0.79,46.0,CA
96373,0.15,75.8,CA
120195,1.68,57.5,WA
117265,0.45,58.8,CA
77492,4.77,37.8,WA
112936,7.81,46.1,CA
99788,0.09,65.4,CA
80867,1.72,48.2,TX
102967,0.7,57.3,CA
94346,0.84,54.0,CA
97105,0.59,61.5,CA
81967,0.21,72.6,CA
121180,0.12,76.1,CA
116027,0.45,58.8,CA
84366,5.09,45.8,CA
87215,0.77,46.5,CA
98184,0.57,75.0,CA
107271,4.03,47.1,CA
85943,0.68,63.5,WA
83511,2.2,53.0,CA
119459,2.13,44.9,WA
85594,0.06,73.5,CA
89663,2.55,80.9,TX
102548,2.81,47.4,TX
119965,5.54,71.4,TX
94766,0.07,71.2,CA
78671,2.9,56.9,WA
89682,4.0,67.2,TX
104512,0.06,76.1,CA
78096,2.1,56.8,CA
92059,2.0,49.7,WA
98653,4.99,45.4,WA
121019,0.5,67.5,CA
125911,4.16,53.0,CA
98028,0.57,75.0,CA
118114,5.11,28.6,WA
92299,1.45,48.2,CA
80461,2.76,47.0,WA
94917,0.11,70.9,CA
98548,0.14,67.5,WA
98913,1.23,60.0,WA
88635,0.36,55.9,CA
118761,4.47,61.9,TX
125163,0.15,67.9,CA
84469,0.65,45.3,CA
97095,0.61,74.9,CA
117000,2.8,80.1,TX
118624,0.81,41.5,CA
92460,0.59,61.5,CA
95576,1.83,53.0,TX
94724,0.41,64.3,CA
103130,2.39,73.7,TX
123742,1.31,65.6,WA
92409,0.59,61.5,CA
94289,0.06,59.4,CA
114079,2.17,51.6,CA
83084,0.21,72.6,CA
117823,3.13,43.9,CA
77738,4.77,37.8,WA
80356,2.76,47.0,WA
84962,0.94,63.9,CA
126459,0.88,58.2,CA
123524,3.21,41.2,CA
92379,0.88,56.0,CA
93048,1.81,59.5,WA
85171,1.92,50.2,CA
106398,0.52,60.8,WA
116467,0.18,64.2,WA
77734,4.99,45.4,WA
118468,0.74,54.4,CA
122194,0.12,70.5,CA
116275,0.81,47.6,TX
115336,0.06,73.8,CA
80560,0.66,62.2,WA
84854,2.36,61.4,TX
117083,0.72,57.9,TX
118080,3.55,42.5,TX
79574,2.17,51.6,CA
89935,0.28,74.2,CA
98304,0.57,75.0,CA
80567,0.2,76.0,CA
126675,0.2,68.0,CA
95752,0.58,46.2,TX
105770,0.4,67.3,WA
96115,2.66,45.7,CA
120849,0.18,76.9,CA
84241,5.09,45.8,CA
77612,4.99,45.4,WA
123790,0.06,69.5,CA
101302,2.17,48.9,TX
123220,0.82,53.3,CA
77827,1.61,48.0,TX
117480,5.11,28.6,WA
80409,0.21,66.8,WA
85297,5.09,45.8,CA
100161,0.15,67.9,CA
109008,2.03,57.0,WA
78854,0.38,67.6,CA
78425,8.96,45.6,CA
103999,2.36,82.1,TX
109168,0.67,66.2,CA
80013,11.5,43.6,CA
121997,0.82,53.3,CA
100973,3.26,48.0,CA
121352,1.43,56.7,WA
117415,2.08,51.3,CA
114308,0.73,64.6,CA
90674,1.04,83.4,TX
104645,0.84,66.4,WA
79878,5.18,68.5,TX
91541,7.66,31.8,WA
94850,0.79,57.5,WA
106127,3.72,58.2,CA
97530,0.14,67.5,WA
90234,1.43,66.0,WA
109721,2.54,62.2,CA
101744,1.08,56.9,CA
104005,2.22,39.2,WA
138215,1.79,57.3,CA
77491,5.16,39.6,WA
91974,0.15,67.9,CA
83320,1.34,65.8,TX
79646,2.64,51.1,TX
112058,5.77,44.0,CA
106661,4.03,47.1,CA
85947,1.88,54.8,CA
111764,0.73,58.7,TX
101798,2.35,61.8,TX
84076,2.2,53.0,CA
109932,0.18,70.7,CA
95899,2.42,81.4,TX
109584,0.14,78.4,CA
117797,0.45,47.2,TX
107950,2.08,52.9,WA
89953,1.43,66.0,WA
112544,7.81,46.1,CA
121810,0.82,53.3,CA
118686,4.47,61.9,TX
90588,0.3,71.2,CA
89698,2.48,55.6,WA
93752,0.31,63.6,WA
125975,4.21,48.2,CA
80879,4.98,44.9,CA
121330,2.92,81.8,TX
101487,3.28,42.2,WA
97159,3.98,50.0,CA
81262,10.06,30.2,WA
90622,1.43,66.0,WA
121287,0.5,67.5,CA
113873,5.41,44.0,CA
97165,0.06,73.5,CA
81070,1.65,42.0,CA
121435,0.7,63.3,WA
109049,2.54,62.2,CA
132484,3.48,51.5,CA
121140,0.5,67.5,CA
108926,3.64,54.7,WA
108416,0.59,61.5,CA
91418,0.74,58.0,CA
110121,0.04,71.2,CA
100674,2.35,46.8,CA
120552,0.12,76.1,CA
126855,3.37,46.3,WA
95902,8.26,36.1,WA
84149,2.4,47.5,CA
101690,1.46,43.7,WA
79534,2.1,56.8,CA
84659,1.2,48.6,TX
80558,3.39,79.5,TX
112901,0.71,69.0,CA
80616,9.93,35.0,WA
124146,0.06,75.0,CA
110967,2.15,66.4,TX
77539,0.17,74.2,CA
90727,0.05,76.0,CA
91506,2.45,78.0,TX
103737,1.91,66.1,TX
88502,3.56,40.0,WA
100602,2.35,46.8,CA
79767,4.34,48.8,CA
108239,0.55,63.3,WA
95642,1.83,53.0,TX
106435,5.51,44.6,CA
108809,1.79,53.0,CA
124344,3.21,41.2,CA
92795,4.73,80.9,TX
101461,5.77,44.0,CA
112919,1.14,50.2,TX
119548,1.27,56.3,CA
91197,0.35,71.4,CA
101391,2.27,43.5,CA
82144,0.31,73.3,CA
82659,0.21,72.6,CA
99351,0.09,65.4,CA
105091,0.19,74.8,CA
104214,0.06,76.1,CA
84094,5.09,45.8,CA
81559,4.51,38.6,WA
105233,3.95,69.7,TX
115862,0.59,64.4,TX
87352,0.77,46.5,CA
117079,1.81,47.0,WA
107931,3.69,51.1,CA
123484,1.22,49.2,TX
95958,8.26,36.1,WA
117647,0.81,41.5,CA
99877,0.09,65.4,CA
84591,4.28,35.2,WA
126094,1.68,57.5,WA
122303,5.69,70.8,TX
116232,0.06,69.5,CA
78299,5.58,46.0,WA
110302,1.09,65.0,WA
93628,0.65,86.1,TX
122255,0.82,53.3,CA
117848,1.7,59.2,CA
128047,2.39,63.0,TX
80721,0.71,46.6,CA
88595,0.15,68.6,CA
78340,2.1,56.8,CA
92835,0.1,76.2,CA
123859,7.11,41.1,CA
77645,1.3,64.7,WA
105083,0.12,72.1,CA
80844,0.23,56.6,TX
104269,0.19,74.8,CA
119853,0.06,69.5,CA
84250,2.2,53.0,CA
104163,0.08,70.4,CA
83059,0.21,72.6,CA
89087,3.26,43.5,WA
99870,5.75,52.6,CA
94593,0.06,59.4,CA
111539,1.0,59.9,CA
119541,0.94,63.9,CA
97279,0.06,75.8,CA
89135,1.17,66.3,TX
119751,3.01,82.4,TX
78603,3.98,43.6,WA
82222,0.98,62.0,WA
86614,0.94,63.9,CA
86817,0.79,46.0,CA
82523,0.25,67.8,CA
94353,4.21,51.6,CA
103297,1.35,48.6,WA
101126,2.27,43.5,CA
117184,1.81,47.0,WA
95133,1.83,53.0,TX
90144,0.71,63.7,CA
118930,0.74,54.4,CA
108611,1.11,35.8,WA
116694,1.09,62.0,CA
120862,0.18,76.9,CA
80576,4.98,44.9,CA
87427,4.24,47.6,WA
118694,0.74,54.4,CA
118792,0.81,41.5,CA
119648,1.01,57.0,TX
116396,0.15,79.3,CA
135893,1.51,58.6,CA
109448,0.67,66.2,CA
113400,2.69,47.7,CA
82478,1.31,65.6,WA
83243,3.49,46.7,WA
82922,0.21,72.6,CA
97749,0.52,60.8,WA
98406,0.22,78.7,CA
103656,2.37,80.7,TX
118724,4.24,46.7,CA
85839,0.31,72.2,CA
134037,0.04,71.2,CA
118379,0.74,54.4,CA
99496,0.41,66.8,CA
81630,10.06,30.2,WA
97036,3.98,50.0,CA
90761,0.68,63.5,WA
100160,5.77,44.0,CA
116103,0.06,69.5,CA
86185,0.27,75.0,CA
99723,0.55,63.3,WA
119218,4.23,46.7,WA
